515	going visit united states famous geographic places grand canyon heard helicopter tours available visiting grand canyon true much cost firms noted services need documents take tour info appreciated
128516	want travel munich rome train several routes take example munich → bologna → rome munich → bolzano → rome switzerland etc would love know route take want cross tunnels possible e route tunnel free long longest tunnel given route want avoid tunnels claustrophobic hate tolerate short tunnels rule travelling train want sure route without tunnels exceed let say metres
26117	specific limit money carry cash flying one european union country another
6	year ago reading magazine found availability get trip antarctica unfortunately info could get know anything best way get best route maybe feedback
113157	paris two large train stations close still separate walking distance train station north gare du nord train station east gare de l est might think maybe one faces north others faces east trains make turn something still see two platform areas part station even case face north north east logic stations guessing historical rather technical reason also fair assume trains travelling east paris always stop est trains travelling north paris always stop nord
111112	estimate minutes arriving hare flight leaves two bags check international flight eva air leaves mins enough time check bags go security board plane question update different scenario hour minutes arriving hare flight departure also bags check screenshot flight intend board additional update full plan trip case expect arrive hr mins boarding leave ann arbor pm arrive chicago hare pm see screenshot amtrak transport coaches considered compatible schedule day pre schedule uber go chicago union station hare taking around mins also see screenshot hope get later worst case scenario uber drive straight terminal eva air appreciate answers comments really helped
48649	part road trip thinking crossing canadian rockies car night time banff ab kamloops bc aware areas canada recommended driven night mostly large animals may cross roads case section middle banff national park drive night regular sedan car without worrying
47625	last trip france via car noticed french freeways autoroutes somewhat strange road marking familiar usually two lanes going direction freeway lanes separated dashed line indicating allowed cross line pass cars moving left lane hundred meters exit frequency dashes changes much closer together still form solid line soon exit passed line changes back dashes spread apart case know mean look e g freeway exit near paris google maps dashes near exit mean supposed change lanes area
1033	planning visit daughter years wife around ireland northern ireland ten days start cork finish dublin interesting places visit particular interested stuff suitable children night life etc would prefer see something different uk rest europe rough guide found almost impossible figure really worth seeing would grateful suggestions edit regarding historic sites usually mostly outdoor sites ok museum type sightseeing boring little one
7180	leave trip next month wanted buy locks backpack since certainly passing crowded areas city may difficult notice pickpocket attempt want know whether key combo lock offers higher level security also would anyone know might able purchase set locks unlock single key
46093	really like fly airbus find compare price flights carried specific kind plane want fly anywhere plan go vienna austria indonesia summer possibly stop hong kong singapore bangkok checked regular commercial flights home town way go probably first fly major hub somewhere middle east south east asia anyway since seem many direct flights vienna sea far simply searched flights like usually checked planes use tedious especially one flexible dates find cheap flights carried specific type plane
178696	many years wanted hiking mountain biking mountains western ukraine zakarpatska oblast safest one moment first covid pandemic threw wrench plans war really like go spring summer possible course short answer forget travel governments countries incl mine advise citizens looking longer nuanced answer several points like get clarified admitted country eu national fully vaccinated covid last dose december know buy ukrainian travel insurance bought cheaply visitukraine today however entering ukraine mountain bike afraid stand crowd guess many leisure travellers enter ukraine days could refused entry trains west ukraine reliable plan travel chop sianky uzhok pass spend time mountains near border poland slovakia according online sources trains operate expect disruptions e g due power shortages problems side note pay train ticket chop major station using foreign credit card stopped ukrainian police read happens lot days chance getting unfriendly find tourist wandering around business ukraine viewed nuisance
151055	trains underground trams almost buses th december uk million london goes halt live manchester single bus service goes approx pm city center airport someone coming eastern europe completely unimaginable public transport full day time car ownership quite common let say second world war example
86545	plane got delayed noticed delay departure time larger delay arrival time come strategy airlines use reduce amount complaints among passengers even though plan go faster mean aspect trip actually done faster e g higher priority land faster speed etc mean original arrival time margin etc example pm pm minutes pm pm minutes
155155	explained relevant question flight condor frankfurt prague recently cancelled emailed asking refund days ago far received response today another flight british airways cancelled likewise offer voucher asking refund online get actual money back asking call lines plugged given unable reach airline moment apply chargeback credit card matters us issued credit card live us update end able get refund asking ba twitter
56343	flying friday find two one mm jack adapter wondering decided go way one like know using two prongs avoid theft airline distributed headphones use two regular jacks switch channels second one way everybody could use headphones
4634	looking home exchange house exchange deal swap place someone else month anyone know good sites locating people scenario used airbnb found great fact people link data account reviews gives little trust renting stranger
27	traveling one favorite things simply explore local area see going enjoy guided tours occassions interested finding cool local markets restaurants historical sites photography opportunities nearby nature walks hikes hidden gems example sydney relative pointed us small nature reserve one hundreds thousands simply looking map turned deep beautiful forest middle neighborhood trip usually search online reviews things mostly come tourist traps find opposite tourist traps actually site
5149	remember years ago discovering great south american journey operated gap adventures g adventures month trip around continent although essentially bunch smaller tours joined together year found week tour africa covering something like countries time wondering two parts longest official tour offered world terms time travelling official tour covers number countries
61984	travelling london nearly year old son coming monday main purpose visit get new passport arrive monday evening stay near paddington station visit embassy grosvenor square area tuesday morning plan application process may take hours plan leave london pm bit time leave good place visit somewhere paddington station grosvenor square something suited year old boy know hyde park option big know anything interest closer area travelling anything slightly would fine long take much travel time current forecast looks like going rain would nice options rains
168993	passport protective thin transparent case place put cards money inner side last page tiny space keep us bill passport attractive thieves rationale keeping money also keep cash wallet backpack recently unusual interaction border agent entered foreign countries four continents dozen times never rude border agent except one border agent quite rude moments getting passport raised voice told something native language even though knew speak later spoke english told take money used magnifier sort look page fault put money block something important maybe thought bill bribe looking device page
186406	planning invite asian family law germany big fans seafood especially crabs shrimps mussels experience selection markets germany rather sparse compared places asia visited far would still like try include german city comparable selection itinerary googling shows several recommendations markets e g hamburg munich germany many details products sold also wary culturally different views constitutes great selection could anyone recommend markets germany great selection fresh seafood
30247	soon transiting twice dubai airport terminal would like make quick skype video call back home options free paid open wifi internet kiosks local sim anything gets job done cost arm leg read roaming mobile data always useless official dxb website claims reliable fast free wifi last time passed dec flakier kelloggs factory point impossible even send email much less stream live video personal recent experience usable dxb peak hours middle night would welcome though
103464	someone edited question originally used kiev mean capital ukraine edited kyiv briefly googled found kiev russian word kyiv ukrainian one wonder considered offensive otherwise welcomed among ukrainians feel people care pronunciation issue would written context e g chat airbnb hosts ask help stranger smartphone etc offensive locals approximately many people percentage care
80936	many international travelers tourists enjoy driving cars germany autobahn every day would unaware running gas autobahn illegal although visited germany twice always traveled trains buses came know reading articles parking car autobahn empty tank illegal question happens tourist runs gas autobahn aware german autobahn law cope situation drivers finding predicament subject fines penalty everyone regardless nationality
185386	international student attending boarding school us f student visa likely visit home india one three times year next three five years international flights boston logan bos new york city jfk stay campus breaks definitely fly somewhere minimum five round trips year global entry tsa precheck comes worth experiences tsa precheck really save much time flying domestic immigration easier significantly quicker global entry non immigrants using global entry
